Galaxy Number,X coord,Y coord,X radius,Y radius,Pixel Count 
600,1122,2706,19,6,8917.0 
601,2117,559,5,4,7237.0 
602,822,1784,6,5,9723.0 
603,1644,2275,9,5,10645.0 
604,1257,572,5,9,7004.0 
605,439,2318,10,5,6027.0 
606,676,3605,10,7,22182.0 
607,2111,2313,44,10,15904.0 
608,940,1174,6,6,12904.0 
609,302,1527,5,5,7354.0 
610,2417,2965,6,6,10957.0 
611,2310,3433,5,4,5919.0 
612,1124,1475,6,5,9931.0 
613,1522,4063,7,6,13568.0 
614,172,370,5,6,7734.0 
615,1518,1918,6,6,12179.0 
616,2084,3723,5,5,7004.0 
617,1503,2883,8,6,10639.0 
618,624,3352,38,15,39170.0 
619,1769,2554,7,6,10477.0 
620,1943,2673,6,7,14249.0 
621,2106,3143,18,6,9910.0 
622,1838,3435,6,5,8427.0 
623,1964,4161,6,7,13520.0 
624,161,199,6,6,9843.0 
625,1798,1772,6,6,12263.0 
626,1643,1792,7,5,11116.0 
627,1152,3860,8,6,15566.0 
628,1573,4098,5,5,7873.0 
629,2287,599,8,5,16833.0 
630,2422,1340,8,6,12709.0 
631,2278,490,9,8,26477.0 
632,1996,1048,5,5,8530.0 
633,2252,1968,6,5,9434.0 
634,1387,104,9,13,5160.0 
635,2154,599,7,6,15929.0 
636,1633,1396,5,5,8239.0 
637,1359,2341,6,5,9854.0 
638,201,3521,5,5,7869.0 
639,2153,3756,7,27,29037.0 
640,2153,3758,11,25,20873.0 
641,1723,855,31,9,18977.0 
642,1111,1304,6,11,21794.0 
643,2193,1435,5,5,7198.0 
644,925,4246,5,7,11996.0 
645,1241,3416,7,7,12875.0 
646,1241,3417,8,7,561.0 
647,277,4500,6,6,8476.0 
648,1586,987,4,4,5067.0 
649,1882,273,8,7,19234.0 
650,347,428,6,5,7877.0 
651,1017,1069,5,5,8363.0 
652,499,1543,6,17,13063.0 
653,677,1713,5,6,8770.0 
654,1793,1768,10,8,7035.0 
655,1174,2871,5,5,5311.0 
656,1341,4387,5,5,7145.0 
657,2398,4509,1,1,441.0 
658,1248,764,7,6,12727.0 
659,2006,1473,5,4,5848.0 
660,787,1681,7,7,16649.0 
661,1967,4057,5,4,6216.0 
662,2460,485,9,9,15922.0 
663,2343,847,7,6,14805.0 
664,688,2363,7,5,10806.0 
665,502,405,8,6,13994.0 
666,2021,1940,6,6,12120.0 
667,213,477,6,6,11174.0 
668,524,3218,6,7,12892.0 
669,432,4309,6,5,8048.0 
670,1506,2805,6,7,9816.0 
671,2119,1610,5,4,5679.0 
672,2203,2798,8,5,13381.0 
673,743,890,5,6,8579.0 
674,484,3157,5,5,6545.0 
675,2049,2242,5,6,9892.0 
676,1999,2740,5,4,6115.0 
677,2068,1304,11,10,38270.0 
678,2261,3543,6,5,7480.0 
679,517,3738,5,4,5379.0 
680,2175,1216,7,7,14908.0 
681,100,1444,6,8,8265.0 
682,1183,4045,7,5,10004.0 
683,939,3538,5,5,7248.0 
684,658,4510,7,1,1358.0 
685,917,2883,8,5,10940.0 
686,2277,4451,1,1,315.0 
687,2222,1441,9,9,23466.0 
688,1316,1717,14,20,15142.0 
