Galaxy Number,X coord,Y coord,X radius,Y radius,Max Pixel,Local Background,Pixel Count,Photon Count,Magnitude 
336,2000,1326,7,6,3899,3420.26845,1084,22514,14.41886835
337,1770,3154,6,6,3899,3444.503846,780,10333,15.26443393
338,1850,1550,7,8,3898,3418.471751,1416,26496,14.24204921
339,1950,2401,5,4,3896,3427.501773,564,11039,15.19267567
340,1525,3561,6,6,3896,3442.770513,780,12126,15.09070609
341,2216,4193,7,7,3890,3414.72786,1084,17569,14.68813239
342,1322,2395,5,5,3887,3427.838652,564,10384,15.2590883
343,1891,1397,8,7,3884,3417.291667,1416,29705,14.11792611
344,636,3579,8,7,3882,3433.403955,1416,22639,14.4128569
345,263,1897,5,6,3878,3422.074359,780,12877,15.02546326
346,1377,2551,8,5,3877,3427.889124,1416,22373,14.42568944
347,1202,2900,8,8,3873,3440.34322,1416,18003,14.6616378
348,2328,3350,8,9,3872,3430.125281,1780,20961,14.49647001
349,820,523,7,7,3871,3438.273063,1084,17977,14.66320695
350,1654,1854,6,5,3869,3421.052564,780,15334,14.83586135
351,1429,3840,1,4,3869,3444.502674,187,3032,16.59567701
352,455,3989,6,5,3867,3425.708974,780,12719,15.03886758
353,2006,2101,6,8,3864,3419.123588,1416,23818,14.35773677
354,1273,509,1,9,3863,3436.868284,1154,17915,14.66695797
355,1833,3973,7,7,3863,3427.20063,952,15956,14.79268993
356,1736,507,6,5,3860,3413.196154,780,13973,14.93677585
357,1244,1055,7,2,3860,3427.162847,829,14506,14.89613082
358,1753,1284,7,7,3858,3419.465867,1084,21385,14.47472686
359,1976,2115,6,6,3858,3420.75641,780,17011,14.72317539
360,1709,2886,7,8,3858,3439.103107,1416,21267,14.48073442
361,1850,3095,6,5,3855,3433.570513,780,11481,15.15005071
362,1429,388,1,14,3853,3431.950655,2979,11884,15.11259339
363,2348,2008,12,8,3852,3425.936392,3160,36592,13.89153463
364,597,3292,8,9,3850,3429.702479,1452,24435,14.32996914
365,2087,1806,6,5,3848,3418.848718,780,13678,14.9599435
366,2453,2139,9,7,3848,3429.706035,1541,20015,14.54661101
367,2336,530,6,6,3847,3412.246154,780,16799,14.73679142
368,759,1236,11,9,3845,3420.364147,2672,42311,13.73386678
369,1604,3563,6,7,3845,3438.703875,1084,9871,15.31409712
370,1437,116,6,1,3843,3452.389474,285,849,17.97773077
371,124,552,5,5,3843,3434.441489,564,11806,15.11974305
372,669,3315,7,7,3843,3432.54428,1084,16663,14.74561701
373,1204,3896,6,5,3843,3428.80641,780,13829,14.94802306
374,442,1316,7,6,3842,3420.479705,1084,17993,14.66224105
375,2136,1475,7,6,3841,3426.137454,1084,13974,14.93669815
376,972,3718,10,8,3841,3428.457581,2216,23919,14.35314245
377,2185,258,7,7,3840,3409.380996,1084,19455,14.57742191
